base_seg_id	corpus	lpair	prob_target	mean_diff	corr_weighted_diff	pca_diff
_DE_EN_016439-15	uds2	deen	0.4436939023217842	0.7411876723133876	0.4986227897370773	0.652351769540885
_DE_EN_016439-16	uds2	deen	0.6165269718937542	0.6783895940164798	0.527323557286858	-1.9970075559481097
_DE_EN_016439-17	uds2	deen	0.6382488205874826	0.3918079311182395	0.3170960906263352	-0.21022840337496668
_DE_EN_016439-18	uds2	deen	0.6479605352250563	0.8078749949320344	0.7636056067164374	1.5042123217267194
_DE_EN_016439-19	uds2	deen	0.4575705418391683	-0.4966918272558672	-1.1769881294930455	-4.887807569665961
_DE_EN_016439-20	uds2	deen	0.600736159559699	0.279640279224234	0.12779348944448998	0.4029573510989273
_DE_EN_003664-01	uds2	deen	0.5679843161382078	0.2904522721579155	0.11163194586754095	-1.099058620399565
_DE_EN_003664-02	uds2	deen	0.5369799961482309	0.5693615750865835	0.4447426494128968	0.39009032513845565
_DE_EN_003664-03	uds2	deen	0.433037063790049	0.19940691090444954	0.1484586595334776	-1.4219350965167203
_DE_EN_003664-04	uds2	deen	0.3486497495673662	0.3931373736447002	0.14175580805103233	0.3414919086540785
_DE_EN_003664-05	uds2	deen	0.3453381697327615	0.6153685443604319	0.4145437287037172	-0.12354590974016921
_DE_EN_003664-06	uds2	deen	0.3923906526308204	0.09030757313975182	-0.13998010107773182	-0.02689010345464049
_DE_EN_003664-07	uds2	deen	0.3112678682006834	-0.3465962258300192	-0.533618572178261	-2.304184560674597
_DE_EN_003664-08	uds2	deen	0.3534814563879748	0.02474588656696413	0.21681031514509794	-0.7276990602728786
_DE_EN_003664-09	uds2	deen	0.3319644003263924	0.09099823317691276	-0.26736255885722876	-2.1976866962948645
_DE_EN_003664-10	uds2	deen	0.5572230051550788	0.523994359910929	0.5487668941516589	-0.2735640291883513
_DE_EN_003664-11	uds2	deen	0.537367824877138	0.24299936274021874	0.22205797829952642	-0.34329459377497157
_DE_EN_003664-12	uds2	deen	0.5341960462372009	-0.015043155008814115	-0.5980927222996164	-2.856404166781725
_DE_EN_003664-13	uds2	deen	0.4040866904770908	-0.1544387493396962	-0.2500339368601268	0.11798338747955273
_DE_EN_003664-15	uds2	deen	0.4336455783397852	0.43669498551794694	0.5699274001514562	1.3248051652153703
_DE_EN_003664-16	uds2	deen	0.4444677944491589	0.028920725482442178	-0.2563346015061113	0.9166722995743602
_DE_EN_003664-17	uds2	deen	0.5	0.5154742028400227	0.6677809600350545	-1.002735074138751
_DE_EN_003664-18	uds2	deen	0.2658395831593076	-0.1743355758757638	-0.3701228470626467	-0.2781664195743978
_DE_EN_003664-19	uds2	deen	0.5780206837297989	0.6458132269501026	0.8159444612983634	1.1905395097343106
_DE_EN_003664-20	uds2	deen	0.7056450159462155	-0.3077026701196223	0.0373073621086442	-3.68948367988393
_DE_EN_003664-21	uds2	deen	0.4003798286381068	-0.3021902160706059	-0.38059191664711045	-2.7182789874254945
_DE_EN_003664-22	uds2	deen	0.5270469046869307	-0.2294218743948258	-0.1767521902474122	-0.6843454149442065
_DE_EN_003664-23	uds2	deen	0.3033208759923547	-0.7309780225155602	-0.99251156448798	-2.8931222941959946
_DE_EN_003664-24	uds2	deen	0.5326884521897627	0.5018562596906747	0.3029432249745672	0.060829921994071
_DE_EN_003664-25	uds2	deen	0.3938267393324044	0.39421216253586727	0.28245451373730585	-0.417787512321519
_DE_EN_003664-26	uds2	deen	0.6455368017103001	0.12033008069389274	-0.07803801634537745	-2.3952636536612064
_DE_EN_003664-27	uds2	deen	0.5581418663319795	0.407575198708952	0.25515798567072406	0.36237045314409777
_DE_EN_003664-28	uds2	deen	0.349062000612014	-0.3006161664292433	-0.300949506843567	-2.1600713835953615
_DE_EN_003664-29	uds2	deen	0.3932547385949301	-0.09649031618465863	-0.25213734158270124	-0.7760051263396908
_DE_EN_003664-30	uds2	deen	0.5317074797852368	0.23465078284720584	0.3450636596438665	1.3183966927538044
_DE_EN_003664-31	uds2	deen	0.4797172943488034	0.44165060095497316	0.6012376698597511	0.982494364606412
_DE_EN_003664-32	uds2	deen	0.5073024310477662	0.411045166846559	0.2229064201927852	-1.5908832495823457
_DE_EN_003664-33	uds2	deen	0.6587697394651864	-0.021395644393499582	-0.008260649739520549	-1.1063969319411835
_DE_EN_003664-34	uds2	deen	0.7848731665278367	0.30299148560391737	0.2804753446694536	0.4211890132253149
_DE_EN_003664-35	uds2	deen	0.5471487654681053	0.4233521945779703	0.4975219517710868	1.4622093338398034
_DE_EN_003664-36	uds2	deen	0.6143751050979269	0.15581065126540564	-0.07190471201585925	-0.287817833994574
_DE_EN_003664-37	uds2	deen	0.472451991900726	0.01173298026797494	-0.1633038718031874	-2.0430366521037677
_DE_EN_003664-38	uds2	deen	0.7081071288408558	0.46922144110855946	0.627130752720728	1.0800267460773507
_DE_EN_003664-39	uds2	deen	0.5094906907012582	-0.21508680280575673	-0.5922372014695276	-2.5559556072428373
_DE_EN_003664-40	uds2	deen	0.5144633821026634	0.3760142108166898	0.40130765734453716	1.1455423074456736
_DE_EN_003664-41	uds2	deen	0.4526305947462335	-0.38981540602585874	-0.4270012352091402	-2.084079642972275
_DE_EN_003664-42	uds2	deen	0.279533088406714	-0.48960729631580946	-0.7738933376397058	-2.1385228823429663
_DE_EN_003664-43	uds2	deen	0.5798865704658915	0.4517027297943935	0.23261266804623895	-0.19856059860852676
_DE_EN_003664-44	uds2	deen	0.5138460946512563	-0.02058383208242382	-0.10609494030465794	0.022404593426913033
_DE_EN_004623-01	uds2	deen	0.431584340986918	-0.06279079031770866	-0.02831879342720388	-1.0977641305194403
_DE_EN_004623-02	uds2	deen	0.5435769915912176	0.703019838183897	0.8167286714895109	2.191373131063258
_DE_EN_004623-03	uds2	deen	0.569518724333882	0.1096366833387522	-0.3925126821421822	-2.7255229229477673
_DE_EN_004623-04	uds2	deen	0.5539913739017631	-0.12976300479935562	-0.0925099663414856	-0.9579041100574481
_DE_EN_004623-05	uds2	deen	0.5232038626521739	0.373055825228925	0.47187863481007725	1.6624234628681496
_DE_EN_004623-06	uds2	deen	0.4478833182049433	-0.0690805986755332	-0.5221737090807124	-3.0623266912513682
_DE_EN_004623-07	uds2	deen	0.6272213108045367	1.2135615071905195	0.9947308635570413	1.6077952827797257
_DE_EN_004623-08	uds2	deen	0.7045251044909424	0.14196094791695918	0.14169004556690687	-1.3279418753688947
_DE_EN_004623-09	uds2	deen	0.486527949151352	-0.15141458765413085	-0.45880520142830006	-2.609604024967592
_DE_EN_004623-10	uds2	deen	0.5435283355478653	0.8232653671440098	0.837499025857411	2.8531342143389775
_DE_EN_004623-11	uds2	deen	0.4325598395346484	0.016326158608850134	0.2231323959250428	-1.6633011370687076
_DE_EN_004623-13	uds2	deen	0.2480169794138304	0.04658350443337655	0.1602160301509845	-0.8195305104788824
_DE_EN_004623-14	uds2	deen	0.5506861838915224	-0.023645124596650153	0.20291286095249905	-0.518301900482401
_DE_EN_004623-15	uds2	deen	0.403476445471102	0.44787482418050617	0.5651629566791426	0.5556920938917648
_DE_EN_004623-16	uds2	deen	0.4355596260171086	0.2515155527408894	0.3647198882483632	-0.4490277818565478
